,song,artist,sum,count,lastfm_count
409,Wedding Bell Blues,The 5th Dimension,249,15,98470.0
410,Twistin' The Night Away,Sam Cooke,407,15,523143.0
411,Love On A Two-Way Street,The Moments,275,15,14557.0
412,Love Me With All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers,410,15,216.0
413,Let It Be Me,The Everly Brothers,441,15,129419.0
414,Because They're Young,Duane Eddy And The Rebels,381,15,50218.0
415,Walkin' In The Rain,Jay & The Americans,722,15,12246.0
416,Can't You Hear My Heartbeat,Herman's Hermits,386,15,98255.0
417,Volare,Bobby Rydell,368,15,51557.0
418,Gimme Little Sign,Brenton Wood,470,15,110208.0
419,Little Children,Billy J. Kramer With The Dakotas,382,15,1337.0
420,Lonely Boy,Paul Anka,172,15,65366.0
421,Beep Beep,The Playmates,316,15,12912.0
422,United We Stand,The Brotherhood Of Man,540,15,2405.0
423,Lightnin' Strikes,Lou Christie,456,15,82192.0
424,Give Me Just A Little More Time,Chairmen Of The Board,419,15,163162.0
425,Goin' Out Of My Head/Can't Take My Eyes Off You,The Lettermen,467,15,1759.0
426,Little Bitty Girl,Bobby Rydell,592,15,11814.0
427,Charlie Brown,The Coasters,300,15,134285.0
428,Way Down Yonder In New Orleans,Freddie Cannon,375,15,1272.0
429,Suspicion,Terry Stafford,445,15,39245.0
430,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,406,15,241145.0
431,I Was Made To Love Her,Stevie Wonder,298,15,574936.0
432,I Love How You Love Me,The Paris Sisters,469,15,96723.0
433,"I Loves You, Porgy",Nina Simone,578,15,188402.0
434,I Second That Emotion,Smokey Robinson & The Miracles,330,15,379298.0
435,I Want To Be Wanted,Brenda Lee,296,15,22061.0
436,I Want To Hold Your Hand,The Beatles,113,15,0.0
437,Wonderful World,Sam Cooke,540,15,902018.0
438,Cab Driver,The Mills Brothers,651,15,8372.0
439,I Heard It Through The Grapevine,Marvin Gaye,124,15,1946670.0
440,He Will Break Your Heart,Jerry Butler,343,15,44392.0
441,I'd Wait A Million Years,The Grass Roots,503,15,48067.0
442,I'll Be There,Jackson 5,117,15,824721.0
443,Winchester Cathedral,The New Vaudeville Band,201,15,79678.0
444,I'm A Believer,The Monkees,142,15,1514537.0
445,I'm Leaving It Up To You,Dale & Grace,333,15,19047.0
446,He's So Fine,The Chiffons,269,15,290191.0
447,Build Me Up Buttercup,The Foundations,277,15,1062355.0
448,Lay A Little Lovin' On Me,Robin McNamara,633,15,6769.0
449,Hound Dog Man,Fabian,466,15,5793.0
450,Young Girl,The Union Gap Featuring Gary Puckett,272,15,228128.0
451,Hold Me Tight,Johnny Nash,443,15,40069.0
452,"Hold Me, Thrill Me, Kiss Me",Mel Carter,448,15,79572.0
453,Hey Little Girl,Dee Clark,626,15,28836.0
454,Honey,Bobby Goldsboro,204,15,113176.0
455,Honky Tonk Women,The Rolling Stones,184,15,1397506.0
456,Ball Of Confusion (That's What The World Is Today),The Temptations,262,15,139970.0
457,I Get Around,The Beach Boys,233,15,1736753.0
458,Hushabye,The Mystics,630,15,41220.0
459,You're Sixteen,Johnny Burnette,464,15,138679.0
460,Hello Walls,Faron Young,551,15,100059.0
461,You Were On My Mind,We Five,322,15,46738.0
462,Hello Mary Lou,Ricky Nelson,367,15,143829.0
463,You Really Got Me,The Kinks,501,15,3016778.0
464,Calendar Girl,Neil Sedaka,424,15,105820.0
